User_ID,Age,Country,ISBN,Title,Author,Main_Genres,Genres,Age_Group
13039,24, germany,3518366823,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Young Adult (18-29)
13080,22, canada,446609242,Fool Me Twice,Nona Uppal,Romance,Contemporary,Young Adult (18-29)
13273,201, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,
13273,201, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,
13552,32, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
13850,28, usa,812992180,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,Travel,Travel & Holiday Guides,Young Adult (18-29)
14079,41, spain,1558586113,The Canterville Ghost,Oscar Wilde,Children's Books,"Fantasy, Science Fiction & Horror",Adult (30-59)
14230,30, usa,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
14952,25, united kingdom,156012197,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Young Adult (18-29)
15021,37, usa,425067645,Icebreaker,HANNAH GRACE,Sports,Winter Sports,Adult (30-59)
15049,28, usa,807204684,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
15213,23, usa,590460307,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Young Adult (18-29)
15230,19, canada,6550924,Seven Years In Tibet,Heinrich Harrer,Sports,Active Outdoor Pursuits,Young Adult (18-29)
15408,34, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
15408,34, usa,1570621608,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chodron,Religion,Buddhism,Adult (30-59)
15602,21, usa,553212583,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Young Adult (18-29)
15945,36, usa,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
15957,27, australia,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Young Adult (18-29)
15957,27, australia,805003614,Conundrum,Chandrachur Ghose & Anuj Dhar,"Biographies, Diaries & True Accounts",True Accounts,Young Adult (18-29)
16155,47, malaysia,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
16183,14, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Teens (12-17)
16504,28, malaysia,140171002,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Young Adult (18-29)
16507,23, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
16634,42, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
16634,42, usa,553212583,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
16795,47, usa,006440188X,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
17183,23, spain,1573226122,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
17917,23, canada,553150979,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Young Adult (18-29)
17950,32, malaysia,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
17950,32, malaysia,553154540,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Adult (30-59)
17950,32, malaysia,747545774,Harry Potter and the Chamber of Secrets,J.K. Rowling,Children's Books,Fantasy,Adult (30-59)
18067,33, malaysia,156012197,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
18155,26, australia,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
18167,34, usa,451520092,Frankenstein,Mary Shelley,"Fantasy, Horror & Science Fiction",Horror,Adult (30-59)
18172,36, usa,671722751,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Adult (30-59)
18254,34, canada,140441409,Meditations (Penguin Classics),Marcus Aurelius,History,Ancient,Adult (30-59)
18722,41, usa,812505018,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
19487,56, usa,345434498,Hostage,Piper Stone,Romance,Mafia Romance,Adult (30-59)
19664,19, usa,156787334,A Room of One's Own,Virginia Woolf,Literature & Fiction,Essays,Young Adult (18-29)
19945,47, united kingdom,425046877,Dune,Frank Herbert,"Fantasy, Horror & Science Fiction",Fantasy,Adult (30-59)
19969,44, usa,679764860,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sciences, Technology & Medicine",Transportation & Automotive,Adult (30-59)
20060,48, usa,312302894,Looking for Alaska,John Green,Teen & Young Adult,Romance,Adult (30-59)
20060,48, usa,375815260,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Adult (30-59)
20115,32, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
20115,32, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
20172,27, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Young Adult (18-29)
20332,39, usa,553562614,Snow Crash,Neal Stephenson,"Computing, Internet & Digital Media",Computer Science,Adult (30-59)
20397,25, usa,345434498,Hostage,Piper Stone,Romance,Mafia Romance,Young Adult (18-29)
21187,18, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
21484,21, usa,440419468,Holes,Louis Sachar,Children's Books,Crime & Thriller,Young Adult (18-29)
21576,31, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
21618,24, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Young Adult (18-29)
21828,21, usa,140209158,The Communist Manifesto,Karl Marx,Business & Economics,Economics,Young Adult (18-29)
21861,44, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
22495,29, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Young Adult (18-29)
22521,18, usa,078670621X,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Sciences, Technology & Medicine",Transportation & Automotive,Young Adult (18-29)
22624,28, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
22625,54, usa,694016756,Goodnight Moon,Margaret Wise Brown,Children's Books,Animals & Pets,Adult (30-59)
23065,26, usa,006440188X,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Young Adult (18-29)
23634,23, usa,394404289,The Prophet,Kahlil Gibran,Literature & Fiction,Classic Fiction,Young Adult (18-29)
23659,41, usa,006440188X,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
23768,45, usa,440226198,The Gift of Fear,Gavin de Becker,Society & Social Sciences,Social Welfare & Social Services,Adult (30-59)
23768,45, usa,440419468,Holes,Louis Sachar,Children's Books,Crime & Thriller,Adult (30-59)
23768,45, usa,446517046,Into Thin Air,Jon Krakauer,Sports,Active Outdoor Pursuits,Adult (30-59)
23768,45, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
23768,45, usa,553370901,The Tibetan Book of the Dead,W.Y. Evans Wentz,Religion,Buddhism,Adult (30-59)
23768,45, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
23768,45, usa,880299185,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
23872,22, usa,393096653,Walden,Henry David Thoreau,Literature & Fiction,Essays,Young Adult (18-29)
23872,22, usa,1573226122,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
24194,20, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
24379,25, usa,553562614,Snow Crash,Neal Stephenson,"Computing, Internet & Digital Media",Computer Science,Young Adult (18-29)
24433,37, netherlands,061825305X,Silent Spring,Rachel Carson,"Crafts, Home & Lifestyle",Gardening & Landscape Design,Adult (30-59)
24921,29, usa,553154540,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Young Adult (18-29)
25105,62, canada,345434498,Hostage,Piper Stone,Romance,Mafia Romance,Senior (60+)
25681,57, usa,1577311523,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,Religion,New Age & Spirituality,Adult (30-59)
25827,33, usa,553150979,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Adult (30-59)
26182,30, usa,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
26544,37, usa,425080021,Dune,Frank Herbert,"Fantasy, Horror & Science Fiction",Fantasy,Adult (30-59)
26713,39, usa,517118807,Frankenstein,Mary Shelley,"Fantasy, Horror & Science Fiction",Horror,Adult (30-59)
26813,28, italy,156012197,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Young Adult (18-29)
27754,36, canada,486425576,The Art of War,Lionel Giles translator,History,Ancient,Adult (30-59)
28006,18, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
28219,42, south africa,1853264857,The Prophet,Kahlil Gibran,Literature & Fiction,Classic Fiction,Adult (30-59)
28360,15, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Teens (12-17)
28523,24, usa,671722751,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Young Adult (18-29)
28525,31, belgium,440226198,The Gift of Fear,Gavin de Becker,Society & Social Sciences,Social Welfare & Social Services,Adult (30-59)
28591,33, usa,380808331,The Marriage Contract,Tara Ahmed,Romance,Love Triangle,Adult (30-59)
28682,47, usa,345434498,Hostage,Piper Stone,Romance,Mafia Romance,Adult (30-59)
28694,36, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
29133,52, usa,156787334,A Room of One's Own,Virginia Woolf,Literature & Fiction,Essays,Adult (30-59)
29727,42, usa,1567310079,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
29915,38, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
30273,25, usa,380769530,Untamed,Glennon Doyle,Reference,Library & Information Science,Young Adult (18-29)
30319,41, usa,1594480001,The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Adult (30-59)
30456,20, usa,553255851,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
30487,40, usa,156787334,A Room of One's Own,Virginia Woolf,Literature & Fiction,Essays,Adult (30-59)
30744,31, usa,380769530,Untamed,Glennon Doyle,Reference,Library & Information Science,Adult (30-59)
30824,45, usa,440977096,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
30824,45, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
31008,29, united kingdom,385488181,Eiger Dreams: Ventures Among Men and Mountains,Jon Krakauer,Sports,Active Outdoor Pursuits,Young Adult (18-29)
31315,34, usa,553210424,Metamorphosis,Franz Kafka,Literature & Fiction,Classic Fiction,Adult (30-59)
31466,26, canada,1551922444,Harry Potter and the Chamber of Secrets,J.K. Rowling,Children's Books,Fantasy,Young Adult (18-29)
31556,51, usa,451520092,Frankenstein,Mary Shelley,"Fantasy, Horror & Science Fiction",Horror,Adult (30-59)
31556,51, usa,078670621X,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Sciences, Technology & Medicine",Transportation & Automotive,Adult (30-59)
31584,17, united kingdom,590433466,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Teens (12-17)
31609,44, usa,1594480001,The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Adult (30-59)
31900,12, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Teens (12-17)
31950,34, australia,880299185,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
31987,36, usa,380769530,Untamed,Glennon Doyle,Reference,Library & Information Science,Adult (30-59)
32244,30, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
32569,19, canada,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
32599,17, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Teens (12-17)
32773,28, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
32773,28, usa,067143294X,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Young Adult (18-29)
32773,28, usa,879236493,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Young Adult (18-29)
32963,56, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Adult (30-59)
33145,30, france,2253008486,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
33203,35, usa,451519582,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
33580,27, usa,156787334,A Room of One's Own,Virginia Woolf,Literature & Fiction,Essays,Young Adult (18-29)
33816,33, canada,553212583,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
33854,73, united kingdom,024114132X,One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Senior (60+)
33980,18, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Young Adult (18-29)
34152,22, germany,3518366823,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Young Adult (18-29)
35050,33, usa,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
35050,33, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
35050,33, usa,439099390,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
35050,33, usa,451511328,Frankenstein,Mary Shelley,"Fantasy, Horror & Science Fiction",Horror,Adult (30-59)
35050,33, usa,553212583,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
35050,33, usa,812510453,Chaos,James Gleick,Science & Mathematics,Mathematics,Adult (30-59)
35081,16, usa,078670621X,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Sciences, Technology & Medicine",Transportation & Automotive,Teens (12-17)
35445,31, usa,66620724,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,"Computing, Internet & Digital Media",Network Administration,Adult (30-59)
35445,31, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
35486,35, germany,3518366823,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
35612,37, canada,081120068X,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
35704,53, usa,553562614,Snow Crash,Neal Stephenson,"Computing, Internet & Digital Media",Computer Science,Adult (30-59)
35857,36, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
35857,36, usa,671782908,TWILIGHT,Stephenie Meyer,Teen & Young Adult,Science Fiction & Fantasy,Adult (30-59)
36003,26, malaysia,156012197,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Young Adult (18-29)
36256,39, usa,767914481,Every Second Counts,Lance Armstrong,Sports,Cycling,Adult (30-59)
36269,21, usa,671722751,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Young Adult (18-29)
36441,20, usa,044100590X,Dune,Frank Herbert,"Fantasy, Horror & Science Fiction",Fantasy,Young Adult (18-29)
36606,39, usa,394404289,The Prophet,Kahlil Gibran,Literature & Fiction,Classic Fiction,Adult (30-59)
36606,39, usa,553263153,Bobby Fischer Teaches Chess,Bobby Fischer,"Crafts, Home & Lifestyle",Games & Quizzes,Adult (30-59)
36606,39, usa,706430131,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
36836,56, usa,015122563X,Conundrum,Chandrachur Ghose & Anuj Dhar,"Biographies, Diaries & True Accounts",True Accounts,Adult (30-59)
36836,56, usa,152373748,The Hundred Dresses,Eleanor Estes,Children's Books,Computers & Technology,Adult (30-59)
36836,56, usa,039701001X,Alive: The Story of the Andes Survivors,Piers Paul Read,Sports,Active Outdoor Pursuits,Adult (30-59)
36836,56, usa,553210939,Crime and Punishment,Fyodor Dostoevsky,"Crime, Thriller & Mystery",Thrillers and Suspense,Adult (30-59)
36849,31, usa,520043936,Mahabharata,B.R. BHAGWAT,Comics & Mangas,Comics,Adult (30-59)
36907,39, canada,152023984,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Adult (30-59)
36907,39, canada,613496744,Harry Potter and the Goblet of Fire,J.K. Rowling,Children's Books,Fantasy,Adult (30-59)
37235,22, portugal,451527100,The Communist Manifesto,Karl Marx,Business & Economics,Economics,Young Adult (18-29)
37235,22, portugal,553208845,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Young Adult (18-29)
37235,22, portugal,812505042,The Time Machine,H. G. Wells,Literature & Fiction,Classic Fiction,Young Adult (18-29)
37300,38, usa,380010003,The Interpretation of Dreams,Sigmund Freud,Higher Education Textbooks,Social Sciences,Adult (30-59)
37400,27, usa,156528207,The Little Prince,Antoine De Saint-Exupéry,Children's Books,"Family, Personal & Social Issues",Young Adult (18-29)
37644,18, usa,553274295,Where the Red Fern Grows,Wilson Rawls,Children's Books,Historical Fiction,Young Adult (18-29)
37693,31, canada,553211412,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
37712,23, usa,804111359,Secret History,Donna Tartt,"Crime, Thriller & Mystery",Thrillers and Suspense,Young Adult (18-29)
37874,43, usa,440777062,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
38023,30, usa,440419468,Holes,Louis Sachar,Children's Books,Crime & Thriller,Adult (30-59)
38023,30, usa,055321201X,The Secret Garden,Frances Hodgson Burnett,Children's Books,"Crafts, Hobbies & Practical Interests",Adult (30-59)
38281,33, spain,1558586113,The Canterville Ghost,Oscar Wilde,Children's Books,"Fantasy, Science Fiction & Horror",Adult (30-59)
38654,17, canada,553150979,Charlie and the Chocolate Factory,Roald Dahl,Children's Books,Fantasy,Teens (12-17)
39227,37, usa,380010003,The Interpretation of Dreams,Sigmund Freud,Higher Education Textbooks,Social Sciences,Adult (30-59)
39400,48, spain,1558586113,The Canterville Ghost,Oscar Wilde,Children's Books,"Fantasy, Science Fiction & Horror",Adult (30-59)
39406,57, usa,1567310079,Siddhartha,Hermann Hesse,Literature & Fiction,Classic Fiction,Adult (30-59)
39467,35, spain,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
39467,35, spain,8437606632,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Adult (30-59)
39584,32, usa,399501487,Lord of the Flies,William Golding,Children's Books,Crime & Thriller,Adult (30-59)
39616,38, usa,671722751,Macbeth,William Shakespeare,Literature & Fiction,Classic Fiction,Adult (30-59)
39646,35, usa,553212583,Wuthering Heights,Emily Brontë,Romance,Romantic Suspense,Adult (30-59)
