,id,title,author,genre,language,publicationYear,publisher,description,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year,isbn
12,13,Animal Farm,George Orwell,Humor,English,1945,Secker & Warburg,"Farm animals rebel against their human farmer, hoping to create a society where they can be equal.",112,"politics,animals,allegory",4.6,UK,True,Hugo Award,Adult,True,1954.0,978-0451526342
13,14,Jane Eyre,Charlotte Brontë,Horror,English,1847,"Smith, Elder & Co.","The story of a young governess and her love for her mysterious employer, Mr. Rochester.",500,"classic,romance,mystery",4.58,UK,True,,Adult,True,2011.0,978-0141441146
14,15,Gone with the Wind,Margaret Mitchell,Historical Fiction,English,1936,Macmillan,Scarlett O'Hara's struggle to survive and keep her land during the American Civil War.,1037,"war,romance,history,south",4.45,USA,True,"Pulitzer Prize,National Book Award",Adult,True,1939.0,978-1451635621
15,16,Fahrenheit 451,Ray Bradbury,Sci-Fi,English,1953,Ballantine Books,A future society where books are outlawed and 'firemen' burn any that are found.,249,"censorship,future,books",4.5,USA,True,Prometheus Hall of Fame,Adult,True,1966.0,978-1451673319
16,17,Brave New World,Aldous Huxley,Sci-Fi,English,1932,Chatto & Windus,"A futuristic society managed by genetic engineering, brainwashing, and drugs.",268,"science,society,philosophy",4.35,UK,True,,Adult,True,1998.0,978-0060850524
17,18,Charlotte's Web,E.B. White,Children,English,1952,Harper & Brothers,A pig named Wilbur is saved from slaughter by a spider named Charlotte.,184,"animals,friendship,kids",4.8,USA,True,Newbery Honor,Children,True,2006.0,978-0061124952
18,19,The Kite Runner,Khaled Hosseini,Art/Literature,English,2003,Riverhead Books,A wealthy boy and the son of his father's servant grow up in Afghanistan.,371,"friendship,betrayal,afghanistan",4.68,USA,True,Boeke Prize,Adult,True,2007.0,978-1594631931
19,20,The Book Thief,Markus Zusak,Historical Fiction,English,2005,Picador,A young girl in Nazi Germany steals books and shares them with others.,552,"war,books,death,history",4.76,Australia,True,Michael L. Printz Award,Young Adult,True,2013.0,978-0375842207
20,21,The Little Prince,Antoine de Saint-Exupéry,Fantasy,English,1943,Reynal & Hitchcock,A pilot stranded in the desert meets a young prince fallen to Earth from a tiny asteroid.,96,"philosophy,childhood,classic",4.95,USA,True,Retro Hugo,Children,True,1974.0,978-0156012195
21,22,The Handmaid's Tale,Margaret Atwood,Sci-Fi,English,1985,McClelland and Stewart,"In a theocratic future, women are subjugated and used for reproduction.",311,"feminism,dystopia,politics",4.12,Canada,True,Arthur C. Clarke Award,Adult,True,1990.0,978-0385490818
22,23,Jurassic Park,Michael Crichton,Sci-Fi,English,1990,Knopf,Genetically engineered dinosaurs run amok at an island theme park.,399,"dinosaurs,science,thriller",4.05,USA,True,,Adult,True,1993.0,978-0345538987
23,24,The Fault in Our Stars,John Green,Romance,English,2012,Dutton Books,Two cancer-afflicted teenagers meet at a support group and fall in love.,313,"love,sad,teen,illness",4.18,USA,True,Goodreads Choice Award,Young Adult,True,2014.0,978-0525478812
24,25,The Shining,Stephen King,Horror,English,1977,Doubleday,A family stays in an isolated hotel for the winter where a sinister presence drives the father to violence.,447,"horror,ghosts,psychological",4.25,USA,True,,Adult,True,1980.0,978-0307743657
25,26,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Sci-Fi,English,1979,Pan Books,Arthur Dent is rescued from Earth moments before its destruction to make way for a bypass.,193,"humor,space,satire",4.22,UK,True,Golden Pan,Adult,True,2005.0,978-0345391803
26,27,Wuthering Heights,Emily Brontë,Horror,English,1847,Thomas Cautley Newby,The intense and tragic love story of Heathcliff and Catherine Earnshaw on the Yorkshire moors.,416,"classic,romance,revenge",3.88,UK,True,,Adult,True,1939.0,978-0141439556
27,28,Little Women,Louisa May Alcott,Young Adult,English,1868,Roberts Brothers,The lives of the four March sisters as they grow up in Civil War era America.,759,"sisters,family,classic,history",4.1,USA,True,,Children,True,2019.0,978-0147514011
28,29,Frankenstein,Mary Shelley,Sci-Fi,English,1818,"Lackington, Hughes",A scientist creates a sapient creature in an unorthodox scientific experiment.,280,"horror,science,classic",3.85,UK,True,,Adult,True,1931.0,978-0486282114
29,30,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,English,1865,Macmillan,A young girl falls down a rabbit hole into a fantasy world of anthropomorphic creatures.,200,"magic,classic,surreal",4.05,UK,True,,Children,True,1951.0,978-0141439761
30,31,The Picture of Dorian Gray,Oscar Wilde,Horror,English,1890,Lippincott's Monthly,A young man remains youthful while his portrait ages and records his moral corruption.,254,"classic,philosophy,horror",4.11,UK,True,,Adult,True,1945.0,978-0141439570
31,32,Gone Girl,Gillian Flynn,Mystery/Thriller,English,2012,Crown Publishing Group,A man becomes the prime suspect when his wife disappears on their fifth wedding anniversary.,419,"mystery,crime,twist",4.1,USA,True,Goodreads Choice Award,Adult,True,2014.0,978-0307588371
32,33,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery/Thriller,English,2005,Knopf,A journalist and a hacker investigate a disappearance from forty years ago.,465,"mystery,sweden,hacker",4.15,Sweden,True,Glass Key Award,Adult,True,2011.0,978-0307454546
33,34,Life of Pi,Yann Martel,Adventure,English,2001,Knopf Canada,A boy survives a shipwreck and is lost at sea with a Bengal tiger.,319,"survival,philosophy,animals",3.92,Canada,True,Man Booker Prize,Adult,True,2012.0,978-0156027328
34,35,The Giver,Lois Lowry,Sci-Fi,English,1993,Houghton Mifflin,A boy lives in a seemingly perfect community but discovers the dark truth about its past.,208,"society,memory,future",4.13,USA,True,Newbery Medal,Young Adult,True,2014.0,978-0544336261
35,36,Twilight,Stephenie Meyer,Romance,English,2005,"Little, Brown",A teenage girl falls in love with a vampire in the rainy town of Forks.,498,"vampires,love,teen",3.6,USA,True,Kids' Choice Award,Young Adult,True,2008.0,978-0316015844
36,37,Of Mice and Men,John Steinbeck,Art/Literature,English,1937,Covici Friede,Two displaced ranch workers move from place to place in California in search of work.,107,"friendship,depression,classic",3.89,USA,True,,Adult,True,1992.0,978-0140177398
37,38,The Secret Garden,Frances Hodgson Burnett,Children,English,1911,Frederick A. Stokes,A young orphan girl discovers a neglected garden at her uncle's estate.,331,"nature,healing,classic",4.15,UK,True,,Children,True,1993.0,978-0064401883
38,39,Moby-Dick,Herman Melville,Adventure,English,1851,Harper & Brothers,Captain Ahab's obsessive quest for revenge against the white whale Moby Dick.,635,"sea,whale,classic,obsession",3.5,USA,True,,Adult,True,1956.0,978-0142437247
39,40,A Tale of Two Cities,Charles Dickens,Historical Fiction,English,1859,Chapman & Hall,A story of love and sacrifice set in London and Paris during the French Revolution.,489,"history,war,romance,classic",3.85,UK,True,,Adult,True,1935.0,978-0141439600
40,41,Lord of the Flies,William Golding,Art/Literature,English,1954,Faber and Faber,A group of British boys stranded on an uninhabited island descend into savagery.,224,"classic,survival,society,psychology",3.69,UK,True,Nobel Prize,Young Adult,True,1963.0,978-0399501487
41,42,A Game of Thrones,George R.R. Martin,Fantasy,English,1996,Bantam Spectra,Noble families fight for control of the Iron Throne in the land of Westeros.,835,"epic,politics,dragons,war",4.44,USA,True,Locus Award,Adult,True,2011.0,978-0553103540
42,43,The Godfather,Mario Puzo,Mystery/Thriller,English,1969,G. P. Putnam's Sons,"The story of a fictional Mafia family in New York City, headed by Don Vito Corleone.",448,"mafia,crime,family,italy",4.37,USA,True,,Adult,True,1972.0,978-0451205766
43,44,Divergent,Veronica Roth,Sci-Fi,English,2011,Katherine Tegen Books,"In a society divided into factions based on virtues, Tris Prior discovers she is Divergent.",487,"action,romance,society",4.15,USA,True,Goodreads Choice Award,Young Adult,True,2014.0,978-0062024039
44,45,A Clockwork Orange,Anthony Burgess,Sci-Fi,English,1962,William Heinemann,A teenage sociopath is subjected to a state-sponsored psychological rehabilitation treatment.,192,"violence,classic,satire",3.99,UK,True,,Adult,True,1971.0,978-0393312836
45,46,Dracula,Bram Stoker,Horror,English,1897,Archibald Constable,The vampire Count Dracula moves from Transylvania to England to spread the undead curse.,418,"vampires,horror,classic",4.01,UK,True,,Adult,True,1931.0,978-0486411095
46,47,The Maze Runner,James Dashner,Sci-Fi,English,2009,Delacorte Press,Thomas wakes up in a glade surrounded by a massive maze with no memory of his past.,375,"mystery,survival,action",4.04,USA,True,,Young Adult,True,2014.0,978-0385737973
47,48,The Martian,Andy Weir,Sci-Fi,English,2011,Crown Publishing,An astronaut stranded on Mars must use his scientific ingenuity to survive.,369,"science,space,survival,humor",4.41,USA,True,Seiun Award,Adult,True,2015.0,978-0553418026
48,49,Into the Wild,Jon Krakauer,Non-Fiction,English,1996,Villard,"The true story of Christopher McCandless, who abandoned his life to live in the Alaskan wilderness.",224,"travel,nature,tragedy,nonfiction",4.0,USA,True,,Adult,True,2007.0,978-0385486804
49,50,The Outsiders,S.E. Hinton,Young Adult,English,1967,Viking Press,"Two rival gangs, the Greasers and the Socs, clash in 1960s Oklahoma.",192,"gangs,teen,friendship,classic",4.1,USA,True,New York Herald Tribune Best Teenage Book,Young Adult,True,1983.0,978-0142407332
50,51,Ready Player One,Ernest Cline,Sci-Fi,English,2011,Random House,A teenager hunts for an Easter egg in a virtual reality world to inherit a fortune.,374,"gaming,80s,adventure",4.23,USA,True,Prometheus Award,Young Adult,True,2018.0,978-0307887436
51,52,The Girl on the Train,Paula Hawkins,Mystery/Thriller,English,2015,Riverhead Books,A commuter becomes entangled in a missing persons investigation after witnessing something from a train.,323,"mystery,crime,alcoholism",3.96,UK,True,Goodreads Choice Award,Adult,True,2016.0,978-1594634024
52,53,Water for Elephants,Sara Gruen,Historical Fiction,English,2006,Algonquin Books,A veterinary student joins a traveling circus during the Great Depression.,335,"circus,animals,romance",4.1,Canada,True,Book Sense Book of the Year,Adult,True,2011.0,978-1565125605
53,54,Memoirs of a Geisha,Arthur Golden,Historical Fiction,English,1997,Knopf,A young girl is sold into a geisha house in Kyoto and learns the arts of the profession.,448,"japan,culture,romance",4.14,USA,True,,Adult,True,2005.0,978-0140288478
54,55,Fight Club,Chuck Palahniuk,Humor,English,1996,W. W. Norton,An insomniac office worker starts an underground fight club that evolves into something much darker.,218,"anarchy,psychology,violence",4.19,USA,True,Pacific Northwest Booksellers Award,Adult,True,1999.0,978-0393039764
55,56,American Psycho,Bret Easton Ellis,Horror,English,1991,Vintage,A wealthy investment banker hides his psychopathic ego from his co-workers and friends.,399,"crime,satire,psychology",3.8,USA,True,,Adult,True,2000.0,978-0679735779
56,57,The Road,Cormac McCarthy,Sci-Fi,English,2006,Knopf,"A father and son journey across a desolate, burned America reaching for the coast.",287,"survival,dark,fatherhood",3.99,USA,True,Pulitzer Prize,Adult,True,2009.0,978-0307387899
57,58,Room,Emma Donoghue,Art/Literature,English,2010,"Little, Brown",A five-year-old boy and his mother are held captive in a small room.,321,"kidnap,family,psychology",4.08,Canada,True,Rogers Writers' Trust Fiction Prize,Adult,True,2015.0,978-0316098335
58,59,The Help,Kathryn Stockett,Historical Fiction,English,2009,Putnam,"African American maids working in white households in Jackson, Mississippi, during the early 1960s.",464,"racism,civil rights,friendship",4.47,USA,True,Boeke Prize,Adult,True,2011.0,978-0399155345
59,60,The Lovely Bones,Alice Sebold,Fantasy,English,2002,"Little, Brown",A teenage girl watches from heaven as her family and friends deal with her murder.,328,"crime,death,family,ghosts",3.85,USA,True,Bram Stoker Award,Adult,True,2009.0,978-0316666343
60,61,The Old Man and the Sea,Ernest Hemingway,Art/Literature,English,1952,Charles Scribner's Sons,An aging fisherman struggles with a giant marlin far out in the Gulf Stream off the coast of Cuba.,127,"fishing,struggle,classic",4.3,USA,True,"Pulitzer Prize,Nobel Prize",Adult,True,1958.0,978-0684801223
61,62,One Hundred Years of Solitude,Gabriel García Márquez,Fantasy,English,1967,Harper & Row,The multi-generational story of the Buendía family in the fictional town of Macondo.,417,"family,magic,colombia,classic",4.1,Colombia,True,Nobel Prize,Adult,False,,978-0060883287
62,64,Catch-22,Joseph Heller,Humor,English,1961,Simon & Schuster,A US Air Force bombardier tries to escape the war but is trapped by bureaucratic paradoxes.,453,"war,humor,absurdism",3.98,USA,True,,Adult,True,1970.0,978-1451626650
63,65,Great Expectations,Charles Dickens,Young Adult,English,1861,Chapman & Hall,The orphan Pip rises to wealth and status through the help of a mysterious benefactor.,505,"classic,love,class,london",3.79,UK,True,,Adult,True,1946.0,978-0141439563
64,66,The Bell Jar,Sylvia Plath,,English,1963,Heinemann,A talented young woman descends into mental illness while interning at a magazine in New York.,244,"depression,feminism,mental health",4.03,USA,True,,Adult,True,1979.0,978-0060837020
65,67,Slaughterhouse-Five,Kurt Vonnegut,Sci-Fi,English,1969,Delacorte,Billy Pilgrim becomes unstuck in time after witnessing the firebombing of Dresden.,275,"war,time travel,satire",4.1,USA,True,,Adult,True,1972.0,978-0385333849
66,68,Atonement,Ian McEwan,Art/Literature,English,2001,Jonathan Cape,A 13-year-old girl makes a false accusation that ruins the lives of her sister and her lover.,371,"war,love,betrayal,writing",3.93,UK,True,Booker Prize Shortlist,Adult,True,2007.0,978-0099429791
67,69,The Color Purple,Alice Walker,Art/Literature,English,1982,Harcourt Brace,The life of African American women in the Southern United States in the 1930s.,295,"racism,feminism,history",4.24,USA,True,"Pulitzer Prize,National Book Award",Adult,True,1985.0,978-0156028356
68,70,Dune,Frank Herbert,Sci-Fi,English,1965,Chilton Books,Paul Atreides must lead the Fremen to reclaim the desert planet Arrakis.,658,"space,politics,ecology,epic",4.26,USA,True,"Hugo,Nebula",Adult,True,2021.0,978-0441013593
69,71,Anna Karenina,Leo Tolstoy,Romance,English,1877,The Russian Messenger,A tragic story of a married aristocrat's affair and her search for happiness.,964,"russia,classic,love,tragedy",4.08,Russia,True,,Adult,True,2012.0,978-0143035008
70,73,The Secret History,Donna Tartt,Art/Literature,English,1992,Knopf,A group of classics students at a small college cover up a murder they committed.,559,"mystery,college,obsession",4.15,USA,True,,Adult,False,,978-1400031702
71,74,Things Fall Apart,Chinua Achebe,Historical Fiction,English,1958,Heinemann,"The life of Okonkwo, an Igbo leader, deals with the influence of British colonialism in Nigeria.",209,"africa,history,tragedy",3.7,Nigeria,True,,Adult,False,,978-0385474542
72,75,Crime and Punishment,Fyodor Dostoevsky,Art/Literature,English,1866,The Russian Messenger,Raskolnikov commits a murder to test his theory of being an extraordinary man.,671,"philosophy,crime,classic,russia",4.25,Russia,True,,Adult,True,2002.0,978-0140449136
73,76,The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,English,1999,MTV Books,An introverted freshman navigates his first year of high school with new friends.,213,"teen,mental health,friendship",4.22,USA,True,,Young Adult,True,2012.0,978-1451696196
74,77,Coraline,Neil Gaiman,Fantasy,English,2002,HarperCollins,A young girl opens a locked door in her new house and finds a parallel world.,162,"horror,magic,kids",4.1,UK,True,"Hugo,Nebula",Children,True,2009.0,978-0380977789
75,78,Matilda,Roald Dahl,Children,English,1988,Jonathan Cape,A brilliant young girl with telekinetic powers deals with her neglectful parents and a cruel headmistress.,240,"magic,school,humor",4.33,UK,True,Children's Book Award,Children,True,1996.0,978-0142410370
76,79,Ender's Game,Orson Scott Card,Sci-Fi,English,1985,Tor Books,A young boy is trained in a battle school to lead humanity's war against an alien race.,324,"space,war,strategy",4.31,USA,True,"Hugo,Nebula",Young Adult,True,2013.0,978-0812550702
77,80,Where the Crawdads Sing,Delia Owens,Mystery/Thriller,English,2018,G. P. Putnam's Sons,A girl who grew up alone in the marshes of North Carolina becomes a suspect in a murder.,368,"nature,romance,mystery",4.41,USA,True,Goodreads Choice Award,Adult,True,2022.0,978-0735219090
78,81,The Pillars of the Earth,Ken Follett,Historical Fiction,English,1989,Macmillan,The building of a cathedral in the fictional town of Kingsbridge evokes power struggles and family feuds.,973,"history,architecture,epic",4.33,UK,True,,Adult,True,2010.0,978-0451207142
79,82,The Name of the Wind,Patrick Rothfuss,Fantasy,English,2007,DAW Books,"Kvothe, a legendary figure, tells the story of his life and how he became the most notorious wizard.",662,"magic,music,adventure",4.52,USA,True,Quill Award,Adult,False,,978-0756404741
80,83,The Night Circus,Erin Morgenstern,Fantasy,English,2011,Doubleday,Two young magicians are pawned against each other in a duel within a mysterious circus.,387,"magic,romance,circus",4.02,USA,True,Locus Award,Adult,False,,978-0307744432
81,84,One Flew Over the Cuckoo's Nest,Ken Kesey,Art/Literature,English,1962,Viking Press,A criminal pleads insanity to serve his sentence in a mental institution and clashes with the head nurse.,325,"mental health,rebellion,classic",4.2,USA,True,,Adult,True,1975.0,978-0451163967
82,85,The Silence of the Lambs,Thomas Harris,Mystery/Thriller,English,1988,St. Martin's Press,FBI trainee Clarice Starling seeks the help of incarcerated cannibal Dr. Hannibal Lecter to catch a serial killer.,338,"crime,horror,psychology",4.23,USA,True,Bram Stoker Award,Adult,True,1991.0,978-0312924584
83,86,Rebecca,Daphne du Maurier,Horror,English,1938,Victor Gollancz,"A young woman marries a wealthy widower and moves to his estate, where the memory of his first wife haunts her.",449,"mystery,romance,classic",4.24,UK,True,National Book Award,Adult,True,1940.0,978-0380730407
84,87,Watership Down,Richard Adams,Fantasy,English,1972,Rex Collings,A group of rabbits escape the destruction of their warren and seek a new home.,478,"animals,adventure,classic",4.05,UK,True,Carnegie Medal,Young Adult,True,1978.0,978-0743271370
85,88,American Gods,Neil Gaiman,Fantasy,English,2001,William Morrow,Shadow Moon is released from prison and hired as a bodyguard for a mysterious man named Mr. Wednesday.,635,"mythology,road trip,americana",4.11,USA,True,"Hugo,Nebula",Adult,True,2017.0,978-0380973651
86,89,A Tree Grows in Brooklyn,Betty Smith,Young Adult,English,1943,Harper & Brothers,"The story of a young girl growing up in poverty in Williamsburg, Brooklyn, in the early 20th century.",493,"family,classic,poverty",4.25,USA,True,,Young Adult,True,1945.0,978-0060736262
87,90,The Grapes of Wrath,John Steinbeck,Historical Fiction,English,1939,Viking Press,The Joad family is forced off their farm during the Great Depression and travels to California.,464,"history,poverty,social",3.98,USA,True,"Pulitzer Prize,National Book Award",Adult,True,1940.0,978-0143039433
88,91,Lolita,Vladimir Nabokov,Art/Literature,English,1955,Olympia Press,A literature professor becomes obsessed with a 12-year-old girl.,336,"controversial,classic,psychology",3.88,USA,True,,Adult,True,1962.0,978-0679723165
89,92,Romeo and Juliet,William Shakespeare,Art/Literature,English,1597,John Danter,Two young star-crossed lovers whose deaths ultimately reconcile their feuding families.,281,"play,love,tragedy,classic",3.75,UK,True,,Young Adult,True,1968.0,978-0743477116
90,93,Hamlet,William Shakespeare,Art/Literature,English,1603,Nicholas Ling,"Prince Hamlet seeks revenge against his uncle, who has murdered Hamlet's father in order to seize the throne.",342,"play,revenge,philosophy",4.02,UK,True,,Adult,True,1948.0,978-0743477123
91,94,The Odyssey,Homer,Art/Literature,English,-700,Unknown,Odysseus's ten-year journey home after the Trojan War.,541,"mythology,epic,adventure",3.77,Greece,True,,Adult,True,1997.0,978-0140268869
92,95,Don Quixote,Miguel de Cervantes,Adventure,Spanish,1605,Francisco de Robles,A noble reads so many romances that he loses his mind and decides to become a knight-errant.,928,"classic,satire,spain",3.88,Spain,True,,Adult,True,1972.0,978-0060934347
93,96,Les Misérables,Victor Hugo,Historical Fiction,French,1862,A. Lacroix,Ex-convict Jean Valjean struggles for redemption while being hunted by the ruthless policeman Javert.,1463,"history,france,justice,classic",4.18,France,True,,Adult,True,2012.0,978-0451419439
94,97,War and Peace,Leo Tolstoy,Historical Fiction,Russian,1869,The Russian Messenger,Five aristocratic families face the Napoleonic invasion of Russia.,1225,"history,russia,war,classic",4.14,Russia,True,,Adult,True,1956.0,978-1400079988
95,98,Ulysses,James Joyce,Art/Literature,English,1922,Sylvia Beach,The appointments and encounters of Leopold Bloom in Dublin in the course of an ordinary day.,730,"classic,dublin,complex",3.73,Ireland,True,,Adult,True,1967.0,978-0679722762
96,99,Beloved,Toni Morrison,Fantasy,English,1987,Knopf,"A former slave is haunted by the memory of her daughter, whom she killed to save from slavery.",324,"history,ghosts,slavery",3.93,USA,True,Pulitzer Prize,Adult,True,1998.0,978-1400033416
97,100,Cloud Atlas,David Mitchell,Sci-Fi,English,2004,Sceptre,Six nesting stories spanning from the 19th century to a post-apocalyptic future.,509,"time,philosophy,connection",4.02,UK,True,British Book Award,Adult,True,2012.0,978-0375507250
98,101,Foundation,Isaac Asimov,Sci-Fi,English,1951,Gnome Press,A mathematician predicts the fall of the Galactic Empire and creates a foundation to reduce the dark age.,255,"space,empire,psychohistory",4.18,USA,True,Hugo Award,Adult,True,2021.0,978-0553293357
99,102,Neuromancer,William Gibson,Sci-Fi,English,1984,Ace,A washed-up computer hacker is hired by a mysterious employer for one last job.,271,"cyberpunk,hacker,future",3.89,USA,True,"Hugo,Nebula,Philip K. Dick Award",Adult,False,,978-0441569595
100,103,Snow Crash,Neal Stephenson,Sci-Fi,English,1992,Bantam Spectra,A pizza deliverer in the real world is a warrior prince in the Metaverse.,480,"cyberpunk,metaverse,satire",4.03,USA,True,,Adult,False,,978-0553380958
101,104,Hyperion,Dan Simmons,Sci-Fi,English,1989,Doubleday,Seven pilgrims journey to the distant world of Hyperion to share their stories.,482,"space,opera,time,religion",4.26,USA,True,Hugo Award,Adult,False,,978-0553283686
102,105,The Three-Body Problem,Cixin Liu,Sci-Fi,English,2008,Chongqing Press,Nanotechnology researcher Wang Miao is involved in a conspiracy involving an alien invasion.,399,"aliens,physics,china",4.08,China,True,Hugo Award,Adult,True,2023.0,978-0765377067
103,106,Norwegian Wood,Haruki Murakami,Romance,English,1987,Kodansha,A college student reflects on his life and the two women who affected him.,296,"japan,love,loss,music",4.03,Japan,True,,Adult,True,2010.0,978-0307744661
104,107,Kafka on the Shore,Haruki Murakami,Fantasy,English,2002,Shinchosha,A teenage boy runs away from home to find his mother and sister.,505,"cats,japan,magic,surreal",4.13,Japan,True,World Fantasy Award,Adult,False,,978-1400079278
105,108,Never Let Me Go,Kazuo Ishiguro,Sci-Fi,English,2005,Faber and Faber,Students at an exclusive boarding school discover the dark truth about their existence.,288,"dystopia,clones,friendship",3.83,UK,True,,Adult,True,2010.0,978-1400078776
106,109,The Remains of the Day,Kazuo Ishiguro,Historical Fiction,English,1989,Faber and Faber,A butler recalls his life of service at Darlington Hall during the waning days of the British aristocracy.,258,"history,memory,class",4.13,UK,True,Booker Prize,Adult,True,1993.0,978-0679731726
107,110,Midnight's Children,Salman Rushdie,Fantasy,English,1981,Jonathan Cape,Children born at the exact moment of India's independence possess special powers.,647,"india,history,magic,politics",3.98,India,True,Booker Prize,Adult,True,2012.0,978-0812976533
108,111,White Teeth,Zadie Smith,Art/Literature,English,2000,Hamish Hamilton,Two wartime friends and their families navigate life in multicultural London.,448,"london,race,family,humor",3.78,UK,True,Whitbread Book Award,Adult,True,2002.0,978-0375703867
109,112,The God of Small Things,Arundhati Roy,Art/Literature,English,1997,IndiaInk,"The childhood experiences of fraternal twins establish the rules of society in Kerala, India.",321,"india,family,caste,tragedy",3.95,India,True,Booker Prize,Adult,False,,978-0812979657
110,113,The Goldfinch,Donna Tartt,Young Adult,English,2013,"Little, Brown",A boy survives a terrorist bombing at an art museum and keeps a small painting that draws him into the underworld.,771,"art,crime,coming-of-age",3.92,USA,True,Pulitzer Prize,Adult,True,2019.0,978-0316055437
111,114,All the Light We Cannot See,Anthony Doerr,Historical Fiction,English,2014,Scribner,A blind French girl and a German boy's paths collide in occupied France during WWII.,531,"war,history,radio,blindness",4.33,USA,True,Pulitzer Prize,Adult,True,2023.0,978-1501161933
112,115,The Nightingale,Kristin Hannah,Historical Fiction,English,2015,St. Martin's Press,Two sisters in France struggle to survive and resist the German occupation of WWII.,440,"war,sisters,france,resistance",4.6,USA,True,Goodreads Choice Award,Adult,True,2024.0,978-0312577223
113,116,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Romance,English,2017,Atria Books,An aging Hollywood icon recounts her glamorous and scandalous life to an unknown reporter.,389,"hollywood,lgbt,romance",4.43,USA,True,Goodreads Choice Award,Adult,True,2025.0,978-1501161933
114,117,Daisy Jones & The Six,Taylor Jenkins Reid,Historical Fiction,English,2019,Ballantine Books,An oral history of a fictional rock band's rise and fall in the 1970s.,355,"music,70s,rock,interview",4.2,USA,True,,Adult,True,2023.0,978-1524798628
115,118,It Ends with Us,Colleen Hoover,Romance,English,2016,Atria Books,Lily falls for a neurosurgeon but finds herself in an abusive relationship.,384,"romance,abuse,contemporary",4.24,USA,True,Goodreads Choice Award,Adult,True,2024.0,978-1501110368
